--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
             -77.0,   -0.01283333,       0.00000000,       0.00000000,      -0.02424598,       0.00000000
             -76.0,   -0.01266667,       0.00000000,       0.00000000,      -0.02622599,       0.00000000
             -75.0,   -0.01250000,       0.00000000,       0.00000000,      -0.02828202,       0.00000000
             -74.0,   -0.01233333,       0.00000000,       0.00000000,      -0.03041790,       0.00000000
             -73.0,   -0.01216667,       0.00000000,       0.00000000,      -0.03263770,       0.00000000
             -72.0,   -0.01200000,       0.00000000,       0.00000000,      -0.03494573,       0.00000000
             -71.0,   -0.01183333,       0.00000000,       0.00000000,      -0.03734657,       0.00000000
             -70.0,   -0.01166667,       0.00000000,       0.00000000,      -0.03984510,       0.00000000
             -69.0,   -0.01150000,       0.00000000,       0.00000000,      -0.04244646,       0.00000000
             -68.0,   -0.01133333,       0.00000000,       0.00000000,      -0.04515613,       0.00000000
             -67.0,   -0.01116667,       0.00000000,       0.00000000,      -0.04797993,       0.00000000
             -66.0,   -0.01100000,       0.00000000,       0.00000000,      -0.05092404,       0.00000000
             -65.0,   -0.01083333,       0.00000000,       0.00000000,      -0.05399503,       0.00000000
             -64.0,   -0.01066667,       0.00000000,       0.00000000,      -0.05719985,       0.00000000
             -63.0,   -0.01050000,       0.00000000,       0.00000000,      -0.06054593,       0.00000000
             -62.0,   -0.01033333,       0.00000000,       0.00000000,      -0.06404113,       0.00000000
             -61.0,   -0.01016667,       0.00000000,       0.00000000,      -0.06769381,       0.00000000
             -60.0,   -0.01000000,       0.00000000,       0.00000000,      -0.07151286,       0.00000000
             -59.0,   -0.00983333,       0.00000000,       0.00000000,      -0.07550774,       0.00000000
             -58.0,   -0.00966667,       0.00000000,       0.00000000,      -0.07968847,       0.00000000
             -57.0,   -0.00950000,       0.00000000,       0.00000000,      -0.08406574,       0.00000000
             -56.0,   -0.00933333,       0.00000000,       0.00000000,      -0.08865087,       0.00000000
